num,svn_id,real_name,project_name,role_on_project,organization
380,aa0380,Aaron Mulder,Apache Geronimo,Committer,IBM
2234,ammulder,Aaron Mulder,Geronimo,NA,Chariot Solutions
7,ammulder,Aaron Mulder,ActiveMQ,Committer,Chariot Solutions
912,ammulder,Aaron Mulder,Apache ActiveMQ,Committer,Chariot Solutions
1206,ammulder,Aaron Mulder,Apache Camel,Committer,Chariot Solutions
1903,ammulder,Aaron Mulder,ActiveMQ,NA,Chariot Solutions
2120,ammulder,Aaron Mulder,Camel,NA,Chariot Solutions
1322,ammulder,Aaron Mulder,Apache Geronimo,Committer,Chariot Solutions 
194,ammulder,Aaron Mulder,Apache Camel,Committer,Chariot Solutions 
442,atm,Aaron T. Myers,Apache Hadoop,PMC,Cloudera
477,atm,Aaron T. Myers,Apache Hadoop,Committer,Cloudera
2305,atm,Aaron T. Myers,Hadoop,NA,Cloudera
1422,atm,Aaron T. Myers,Apache Hadoop,PMC,Cloudera 
1464,atm,Aaron T. Myers,Apache Hadoop,Committer,Cloudera 
625,ab0625,Abe White,Apache OpenJPA,PMC,Oracle Corporation
633,ab0633,Abe White,Apache OpenJPA,Committer,Oracle Corporation
1632,ab1632,Abe White,Apache OpenJPA,Committer,Oracle Corporation 
1651,ab1651,Abe White,Apache OpenJPA,PMC,Oracle Corporation 
2578,ab2578,Abe White,OpenJPA,NA,Oracle
2714,abe,Abraham Elmahrek,Sqoop,NA,Cloudera
2715,afine,Abraham Fine,Sqoop,NA,Cloudera
2182,Army Brown,abrown,Db,NA,The Apache Software Foundation
1595,anierbeck,Achim Nierbeck,Apache Karaf,NA,Inovex
1026,ad1026,Adam Wojtuniak,Apache Aries,Contributor,Ericsson
2049,ad2049,Adam Wojtuniak,Aries,NA,Ericsson
47,ad0047,Adam Wojtuniak,Apache Aries,Contributor,Ericsson
800,adriancole,Adrian Cole,Apache Whirr,PMC,Cloud Conscious
813,adriancole,Adrian Cole,Apache Whirr,Committer,Cloud Conscious
1841,adriancole,Adrian Cole,Apache Whirr,committer,Cloud Conscious
1855,adriancole,Adrian Cole,Apache Whirr,PMC,Cloud Conscious
292,adrian,Adrian Sutton,Apache Commons HTTP Client,Committer,Intencha
1292,adrian,Adrian Sutton,Apache Commons HTTP Client,Committer,Intencha 
90,azeez,Afkham Azeez,Apache Axiom,Committer,WSO2
114,azeez,Afkham Azeez,Apache Axis,Committer,WSO2
771,azeez,Afkham Azeez,Apache Synapse,Committer,WSO2
1076,azeez,Afkham Azeez,Apache Axiom,Committer,WSO2
1101,azeez,Afkham Azeez,Apache Axis2,Committer,WSO2
1766,azeez,Afkham Azeez,Apache Synapse,Committer,WSO2
2729,azeez,Afkham Azeez,Synapse,NA,WSO2
2453,aihuaxu,Aihua Xu,Hive,NA,Cloudera
2214,ajayyadava,Ajay Yadava,Falcon,NA,Inmobi
1967,ajit,Ajit Kumar,Ambari,NA,Hortonworks
102,ajith,Ajith Ranabahu,Apache Axiom,Committer,WSO2
134,ajith,Ajith Ranabahu,Apache Axis,Committer,WSO2
1088,ajith,Ajith Ranabahu,Apache Axiom,Committer,WSO2
1121,ajith,Ajith Ranabahu,Apache Axis2,Committer,WSO2
1207,ay,Akitoshi Yoshida,Apache Camel,Committer,SAP
2121,ay,Akitoshi Yoshida,Camel,NA,SAP
